City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Kolvereid,NO,64.8655,11.6047,51.03,84,82,13.98,light rain
98,Gabu,GW,12.2833,-14.2167,75.0,92,100,1.59,overcast clouds
99,Gubkinskiy,RU,64.434,76.5026,33.13,72,100,17.0,overcast clouds
100,Abatskoye,RU,56.2875,70.4555,28.06,76,6,7.9,clear sky
101,Airai,TL,-8.9266,125.4092,70.83,69,99,0.92,overcast clouds
102,Kuznechnoye,RU,61.12,29.8686,43.0,88,98,6.71,overcast clouds
103,Faanui,PF,-16.4833,-151.75,79.0,72,4,13.96,clear sky
104,Tomar,PT,39.602,-8.4092,65.28,33,28,2.82,scattered clouds
105,Sao Filipe,CV,14.8961,-24.4956,77.61,74,67,9.57,broken clouds
106,Rocha,UY,-34.4833,-54.3333,49.17,89,5,7.45,clear sky
107,Paredon,MX,16.0333,-93.8667,79.7,68,20,13.02,few clouds
108,Tochtepec,MX,18.8333,-97.8167,59.18,69,9,6.31,clear sky
109,Severo-Kurilsk,RU,50.6789,156.125,48.94,66,99,12.46,overcast clouds
110,Neuquen,AR,-38.9516,-68.0591,64.29,34,0,13.8,clear sky
111,Santona,ES,43.4439,-3.4576,63.07,85,99,5.44,overcast clouds
112,Albany,US,42.6001,-73.9662,48.58,64,100,5.14,overcast clouds
113,Niquelandia,BR,-14.4739,-48.4597,75.6,70,98,1.45,overcast clouds
114,Hobart,AU,-42.8794,147.3294,60.06,65,75,9.22,broken clouds
115,Mayo,US,38.8876,-76.5119,54.12,92,100,8.01,moderate rain
116,Tiksi,RU,71.6872,128.8694,25.74,89,100,7.81,overcast clouds
117,Tungor,RU,53.3808,142.9564,47.71,70,100,11.12,overcast clouds
118,Bengkulu,ID,-3.8004,102.2655,79.39,80,80,0.63,broken clouds
119,Severobaykalsk,RU,55.65,109.3167,31.05,59,99,3.06,overcast clouds
120,Santa Ana,US,33.7456,-117.8678,77.63,73,0,8.05,clear sky
121,Yerbogachen,RU,61.2767,108.0108,30.51,66,98,6.71,overcast clouds
122,Friedland,DE,51.4167,9.9333,51.48,96,40,4.68,scattered clouds
123,Clyde River,CA,70.4692,-68.5914,25.74,70,97,2.95,overcast clouds
124,Huarmey,PE,-10.0681,-78.1522,62.8,85,65,8.63,broken clouds
125,Honningsvag,NO,70.9821,25.9704,38.95,87,100,0.0,overcast clouds
126,Uruacu,BR,-14.5247,-49.1408,77.81,63,100,2.37,overcast clouds
127,Chiang Klang,TH,19.2938,100.8617,74.32,99,100,0.6,overcast clouds
128,Tuktoyaktuk,CA,69.4541,-133.0374,28.47,75,100,8.5,overcast clouds
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.06,89,98,2.46,overcast clouds
130,Parrita,CR,9.5201,-84.3225,78.84,85,100,1.57,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,90,100,6.49,overcast clouds
132,Saint-Philippe,RE,-21.3585,55.7679,65.21,78,14,8.03,few clouds
133,Morant Bay,JM,17.8815,-76.4093,79.84,82,81,1.97,broken clouds
134,Joshimath,IN,30.5667,79.5667,66.25,52,1,3.74,clear sky
135,Gilleleje,DK,56.122,12.3106,54.99,87,10,19.75,clear sky
136,Roald,NO,62.5833,6.1333,53.17,76,100,18.41,overcast clouds
137,Mandalgovi,MN,45.7625,106.2708,25.11,63,8,7.18,clear sky
138,Hua Hin,TH,12.5707,99.9588,80.89,99,100,5.41,moderate rain
139,Benjamin Hill,MX,30.1667,-111.1,77.4,44,0,5.12,clear sky
140,Port Hardy,CA,50.6996,-127.4199,51.98,100,20,4.61,few clouds
141,Sibu,MY,2.3,111.8167,75.04,97,100,2.08,overcast clouds
142,Hamilton,US,39.1834,-84.5333,59.45,75,0,10.36,clear sky
143,Vangaindrano,MG,-23.35,47.6,63.37,88,0,6.69,clear sky
144,Alta Floresta,BR,-9.8756,-56.0861,79.86,58,85,3.53,overcast clouds
145,Gamba,GA,-2.65,10.0,74.79,90,100,4.16,overcast clouds
146,Saint-Pierre,RE,-21.3393,55.4781,65.28,68,0,6.91,clear sky
147,Cidreira,BR,-30.1811,-50.2056,60.53,88,2,5.64,clear sky
148,Tynda,RU,55.1667,124.7167,27.19,65,98,11.05,overcast clouds
149,Turukhansk,RU,65.8167,87.9833,28.47,93,100,10.6,light snow
